127.0.0.1 - - [27/Jul/2022:10:48:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jul/2022:10:48:16 +0900] "GET /ServletProject/Hello HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Jul/2022:10:48:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jul/2022:10:48:30 +0900] "GET /ServletProject/Hello HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Jul/2022:10:48:33 +0900] "GET /ServletProject/Hello HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Jul/2022:10:48:34 +0900] "GET /ServletProject/Hello HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Jul/2022:10:48:35 +0900] "GET /ServletProject/Hello HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Jul/2022:10:48:35 +0900] "GET /ServletProject/Hello HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Jul/2022:10:48:35 +0900] "GET /ServletProject/Hello HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Jul/2022:10:48:36 +0900] "GET /ServletProject/Hello HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Jul/2022:10:48:38 +0900] "GET /ServletProject/Hello HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Jul/2022:10:48:38 +0900] "GET /ServletProject/Hello HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Jul/2022:10:48:39 +0900] "GET /ServletProject/Hello HTTP/1.1" 200 -
